Country,CODE,2014.malaria.cases,2013.malaria.cases,2012.malaria.cases,2011.malaria.cases,2010.malaria.cases,2009.malaria.cases,2008.malaria.cases,2007.malaria.cases,2006.malaria.cases,2005.malaria.cases,2004.malaria.cases,2003.malaria.cases,2002.malaria.cases,2001.malaria.cases,2000.malaria.cases
Afghanistan,AFG,61362,39263,54840,77549,69397,64880,81574,92202,86129,116444,242022,360940,415356,,94475
Algeria,DZA,0,0,55,1,1,0,3,27,1,2,3,6,8,8,35
Angola,AGO,2298979,1999868,1496834,1632282,1682870,1573422,1377992,1533485,1082398,889572,,,,,
Argentina,ARG,0,0,0,0,14,86,130,387,212,252,115,122,125,215,440
Armenia,ARM,,,,,0,0,0,0,0,7,47,29,52,79,141
Azerbaijan,AZE,0,0,3,4,50,78,72,108,143,242,386,482,506,1058,1526
Bahamas,BHS,,,,6,1,,14,6,49,1,2,3,1,4,2
Bangladesh,BGD,10216,3864,9901,51773,55873,63873,84690,59866,32857,48121,58894,54654,62269,54216,55599
Belize,BLZ,19,20,33,72,150,256,540,845,844,1549,1066,1084,1134,1162,1486
Benin,BEN,1044235,1078834,705839,422968,,889597,,,,,,,,,
Bhutan,BTN,19,15,0,194,436,972,329,793,1868,1825,2670,3806,6511,5982,5935
Bolivia (PlurinationalStateof),BOL,7401,7342,7415,7143,13769,9743,9748,14610,19725,21442,14910,20343,14276,15765,31469
Botswana,BWA,1346,456,193,432,1046,1024,927,390,,670,198,591,1640,3720,10510
Brazil,BRA,143415,177767,242758,267146,334667,309316,315746,458652,549469,606067,465004,408886,348259,388303,613241
Burkina Faso,BFA,5428655,3769051,3858046,428113,804539,182527,36514,44246,44265,21335,18256,,,,
Burundi,BDI,4585273,4141387,2151076,1571874,1763447,1185622,876741,1101644,791731,327464,363395,353459,327138,312015,308095
Coted'Ivoire,CIV,3712831,2506953,1140627,29976,62726,7388,3527,,,67,293,1585,7628,11936,15705
CaboVerde,CPV,26,22,1,7,47,65,35,18,80,68,45,68,76,107,144
Cambodia,KHM,25152,21309,40476,57423,49356,64595,42124,42518,78696,49436,59745,71265,46902,53601,62442
Cameroon,CMR,,26651,,15212,,,,,,,,,,,
Central African Republic,CAF,295088,116300,46759,,,,,,,45973,46869,37896,43093,39164,33411
Chad,TCD,914032,754565,7710,181126,200448,,47757,48288,45155,31668,1360,45195,43933,38287,40078
China,CHN,56,86,244,3367,4990,9287,15870,28112,33286,19304,25483,27870,24964,21237,8025
Colombia,COL,40768,51696,60179,64309,117650,79347,80559,128462,120096,121629,142241,180956,204916,231233,144432
Comoros,COM,2203,53156,49840,24856,36538,5982,,,20559,6086,12874,867398,1104310,879032,801784
Congo,COG,66323,43232,120319,37744,,92855,117291,103213,,67,293,1633,7677,11981,15751
Costa Rica,CRI,0,0,6,10,110,262,966,1223,2903,3541,1289,718,1021,1363,1879
Democratic People's Republic of Korea,PRK,10535,14407,21850,16760,13520,14632,16611,4345,12983,11315,27090,16538,16578,143674,90582
Democratic Republic of the Congo,COD,9968983,6715223,4791598,4561981,2417780,1878705,1618218,740858,2050,2971,2684,2438,1735,1531,897
Djibouti,DJI,,939,25,,1010,2686,119,210,1796,413,122,5036,,,
Dominican Republic,DOM,496,579,952,1616,3414,1643,1840,2711,3525,3837,2355,1529,1296,1038,1233
Ecuador,ECU,241,368,544,1219,1888,4120,4891,8464,9863,17050,28730,52065,86757,108903,104528
Egypt,EGY,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,SLV,6,6,13,9,19,20,33,40,49,67,112,85,117,362,753
Equatorial Guinea,GNQ,20417,13129,15169,22466,53813,14184,9503,6287,,,,,,,
Eritrea,ERI,30768,21317,21815,34848,35982,11759,8764,15565,6541,9073,4119,10346,6078,9716,
Ethiopia,ETH,2118815,2645454,1692578,1480306,1158197,1036316,458561,451816,447780,538942,578904,463797,427795,392377,
Gabon,GAB,31900,28982,19753,,13936,660,40701,45186,33458,70644,70075,58212,62976,53167,50810
Gambia,GMB,166229,240792,300363,261967,116353,50378,39164,,,,,,,,
Georgia,GEO,0,0,0,0,0,1,6,24,59,155,257,316,474,438,245
Ghana,GHA,3415912,1639451,3755166,1041260,1071637,1104370,1094483,476484,472255,655093,475441,,,,
Guatemala,GTM,4931,6214,5346,6817,7384,7080,7198,15382,31093,39571,28955,31127,35540,35824,53311
Guinea,GIN,660207,211257,317200,95574,20936,35841,33405,44518,54227,50452,103069,107925,16561,6238,4800
Guinea-Bissau,GNB,93431,54584,50381,71982,50391,11757,11299,14284,15120,14659,,,,,
Guyana,GUY,12354,31479,31656,29506,22935,13673,11815,11656,21064,38984,28866,27627,21895,27122,24018
Haiti,HTI,17662,20586,25423,32969,84153,49535,36774,29825,32739,21778,10802,,,9837,16897
Honduras,HND,3380,5428,6439,7465,9685,9313,8368,10512,11947,15943,17134,14063,17223,24149,35125
India,IND,1102205,881730,1067824,1310656,1599986,1563574,1532497,1508927,1785109,1816569,1915363,1869403,1841227,2085484,2031790
Indonesia,IDN,252027,343527,417819,422447,465764,418439,266277,333792,347597,315394,304936,223065,273793,267592,256993
Iran (Islamic Republic of),IRN,358,479,756,1632,1847,4345,8349,13278,13127,14396,7602,17060,9122,8924,12294
Iraq,IRQ,0,0,0,0,0,0,2,2,23,44,150,344,952,1265,1860
Jamaica,JAM,,,5,9,12,22,22,199,194,88,141,9,7,6,7
Kenya,KEN,2808931,2335286,1453471,1002805,898531,,839903,,,,28328,39383,20049,,
Kyrgyzstan,KGZ,0,0,0,0,3,4,18,96,317,226,93,468,2743,28,12
Lao People's Democratic Republic,LAO,48071,38131,46202,17835,20800,14674,19347,17458,18382,13615,16183,18894,21420,27076,40106
Liberia,LBR,864204,1244220,1407455,1915762,922173,839581,606952,492272,761415,44875,,,,,
Madagascar,MDG,365239,387045,359420,224498,202450,215110,93234,48497,5689,6753,7638,6909,5272,8538,6946
Malawi,MWI,2905310,1280892,1564984,304499,,,,,,,,,,,
Malaysia,MYS,3147,2921,3662,3954,5194,5955,6071,4048,5294,5569,6154,6338,11019,12780,12705
Mali,MLI,2039853,1367218,886482,307035,227482,,,,,,,,,,
Mauritania,MRT,15835,1587,1888,2926,1994,940,302,,1061,,,,,,
Mexico,MEX,656,495,833,1124,1226,2703,2357,2361,2514,2967,3406,3819,4624,4996,7390
Mozambique,MOZ,7117648,2998874,1813984,1756874,1522577,93874,120259,141663,,,,,,,
Myanmar,MMR,152195,251273,480586,465294,420808,436068,447073,373958,203071,165737,152070,177530,173096,170502,120083
Namibia,NAM,15914,4911,194,1860,556,505,1092,4242,27690,23339,36043,20295,23984,41636,
Nepal,NPL,1469,1974,2092,3414,3894,3335,3888,5621,4969,5050,4895,9506,12750,6396,7981
Nicaragua,NIC,1163,1194,1235,925,692,610,762,1356,3114,6642,6897,6717,7695,10482,23878
Niger,NER,1953309,2353422,2239858,780876,620058,309675,496858,249027,3956,56043,76030,56460,,,
Nigeria,NGA,7826954,,,,551187,479845,,,,,,,,,
Oman,OMN,0,0,0,0,24,0,8,4,0,0,0,6,6,2,6
Pakistan,PAK,275149,281755,290781,334589,240591,167579,104334,128380,123761,127536,125618,122560,107666,125292,82526
Panama,PAN,874,705,844,354,418,778,744,1281,1663,3667,5095,4500,2244,928,1036
PapuaNewGuinea,PNG,281182,279994,150195,84060,93956,77758,84452,86955,93938,92957,91055,72620,75748,94484,79839
Paraguay,PRY,0,0,0,1,18,91,348,1341,823,376,694,1392,2778,2710,6853
Peru,PER,64676,43468,31570,25039,31546,42645,44522,50797,64925,87699,93581,88408,99237,78544,68321
Philippines,PHL,4903,6514,7133,9552,18560,19316,23655,36235,35405,46342,50850,,,,
RepublicofKorea,KOR,557,383,394,505,1267,898,1052,2227,2051,1369,864,1171,1799,2556,4183
Russian Federation,RUS,,,,0,0,0,0,0,102,205,382,533,642,898,795
Rwanda,RWA,1610812,962618,483470,208858,638669,698745,316242,382686,573686,683769,589315,553150,506028,423493,
Sao Tome and Principe,STP,1754,9243,12550,8442,2740,6182,6258,2421,5146,18139,46486,42656,50586,42086,31975
Saudi Arabia,SAU,30,34,82,69,29,58,61,467,270,204,308,700,1210,1603,4736
Senegal,SEN,265624,345889,281080,277326,343670,165933,241926,118332,48070,33160,22234,26865,14425,12920,44959
Sierra Leone,SLE,1374476,1701958,1537322,638859,934028,646808,154459,,4932,4808,2206,3945,3702,2206,
Solomon Islands,SLB,18404,25609,24383,26657,39704,33002,40535,65404,75337,76390,90297,92227,74936,76493,68107
Somalia,SOM,11001,7407,6817,1724,24553,25202,36905,16675,16430,12516,11436,7571,15732,,
South Africa,ZAF,11705,8645,5629,9866,8060,6072,7796,6327,12098,7755,13399,13459,15649,26506,
South Sudan,SSD,,262520,225371,112024,900283,,52011,,,,,,,,
Sri Lanka,LKA,0,0,23,124,684,531,649,198,591,1640,3720,10510,41411,66522,210039
Sudan,SDN,1068506,592383,526931,506806,720557,711462,569296,686908,721233,628417,537899,933267,280550,203491,368557
Suriname,SUR,374,729,356,771,1712,2380,2709,1741,3289,9131,8378,10982,12837,16003,11361
Swaziland,SWZ,269,130,57,189,268,106,58,84,155,279,574,342,670,1395,
Syrian Arab Republic,SYR,0,0,0,0,0,0,0,0,0,0,1,2,15,63,6
Tajikistan,TJK,2,3,18,65,111,164,318,635,1316,2309,3588,5428,6160,11387,19064
Thailand,THA,37921,33302,32569,24897,32480,29462,28569,33178,30294,29782,26690,37355,44555,63528,78561
Timor-Leste,TLS,342,1025,5211,19739,48137,47527,51260,52813,37896,43093,39164,33411,26651,,15212
Togo,TGO,1130251,882430,697374,519450,617101,391338,344862,221110,,,,,,,
Turkey,TUR,0,0,0,0,0,38,166,313,767,2084,5302,9222,10224,10812,11432
Turkmenistan,TKM,,,,,0,0,0,0,1,1,3,7,18,8,24
Uganda,UGA,3631939,1502362,2662258,231873,1581160,1301337,979298,1045378,867398,1104310,879032,801784,557159,,
United Republic of Tanzania,TZA,680807,1552444,1986955,2150761,1278998,3242,4585,1845917,1928296,2764049,2502382,1976614,42468,38537,17734
Uzbekistan,UZB,0,0,0,0,3,0,7,30,73,102,66,74,74,77,126
Vanuatu,VUT,982,2381,3435,4820,8169,4189,3765,5471,8055,9834,14653,15240,14339,7647,6768
Venezuela (Bolivarian Republic of),VEN,90708,78643,52803,45824,45155,35828,32037,41749,37062,45049,46655,31719,29491,20006,29736
VietNam,VNM,15752,17128,19638,16612,17515,16130,11355,16389,22637,19496,24909,38790,47807,68699,74316
Yemen,YEM,67513,102778,109908,90410,106697,55446,44206,67677,55000,44150,48756,50811,75508,,1394495
Zambia,ZMB,4077547,,,,,,,,,,,,,,
Zimbabwe,ZWE,535931,422633,276963,319935,249379,114028,32788,116518,,,,,,,
